"BOYEUX-SAINT-JEROME";"01640";"5.46667";"46.0333"
"CHATEAU-GAILLARD";"01500";"5.3";"45.9667"
"PREMEYZEL";"01300";"5.65";"45.6833"
"ARANDAS";"01230";"5.48333";"45.9"
"CHATENAY";"01320";"5.2";"46.0333"
"INNIMOND";"01680";"5.56667";"45.7833"
"BOZ";"01190";"4.9";"46.4"
"BRIORD";"01470";"5.46667";"45.7833"
"REYRIEUX";"01600";"4.81667";"45.9333"
"MATAFELON-GRANGES";"01580";"5.56667";"46.2667"
"DROM";"01250";"5.36667";"46.2167"
"CHATILLON-EN-MICHAILLE";"01200";"5.78333";"46.1333"
"POLLIAT";"01310";"5.13333";"46.25"
"VESANCY";"01170";"6.08333";"46.35"
"MASSIEUX";"01600";"4.83333";"45.9167"
"SAINT-CYR-SUR-MENTHON";"01380";"4.98333";"46.2667"
"SERRIERES-SUR-AIN";"01450";"5.45";"46.15"
"NIVOLLET-MONTGRIFFON";"01230";"5.43333";"45.9833"
"IZERNORE";"01580";"5.55";"46.2167"
"SAINT-NIZIER-LE-DESERT";"01320";"5.15";"46.05"
"GUEREINS";"01090";"4.78333";"46.1"
"ILLIAT";"01140";"4.88333";"46.1833"
"LA TRANCLIERE";"01160";"5.26667";"46.1167"
"SAINT-DIDIER-DE-FORMANS";"01600";"4.78333";"45.95"
"MERIGNAT";"01450";"5.43333";"46.0667"
"SAINT-ELOI";"01800";"5.15";"45.9333"
"LA CHAPELLE-DU-CHATELARD";"01240";"5.03333";"46.0667"
"SAINT-JEAN-DE-NIOST";"01800";"5.21667";"45.8333"
"SAVIGNEUX";"01480";"4.85";"46"
"NATTAGES";"01300";"5.76667";"45.7333"
"SAINT-BENOIT";"01300";"5.58333";"45.7"
"DOUVRES";"01500";"5.36667";"45.9833"
"FRANCHELEINS";"01090";"4.8";"46.0667"
"DORTAN";"01590";"5.66667";"46.3167"
"SAINT-GERMAIN-LES-PAROISSES";"01300";"5.61667";"45.7667"
"MIRIBEL";"01700";"4.95306";"45.8245"
"LANCRANS";"01200";"5.83333";"46.1333"
"ECHENEVEX";"01170";"6.03333";"46.3167"
"SAINT-JEAN-SUR-VEYLE";"01290";"4.91667";"46.25"
"BILLIAT";"01200";"5.78333";"46.0667"
"L'ABERGEMENT-DE-VAREY";"01640";"5.41667";"46"
"VILLENEUVE";"01480";"4.83667";"46.0212"
"VILLARS-LES-DOMBES";"01330";"5.01667";"46"
"THEZILLIEU";"01110";"5.6";"45.8833"
"SAINT-ETIENNE-SUR-REYSSOUZE";"01190";"5";"46.4"
"SOUCLIN";"01150";"5.41667";"45.8667"
"SAINT-JUST";"01250";"5.28";"46.1903"
"CIVRIEUX";"01390";"4.88333";"45.9167"
"ARGIS";"01230";"5.48333";"45.9333"
"TALISSIEU";"01510";"5.71667";"45.8667"
"BIRIEUX";"01330";"5.03333";"45.95"
"SAINT-JULIEN-SUR-VEYLE";"01540";"4.95";"46.2"
"THOIRY";"01710";"5.97973";"46.2364"
"LAIZ";"01290";"4.88333";"46.25"
"CRESSIN-ROCHEFORT";"01350";"5.76667";"45.7667"
"SAINT-CHAMP";"01300";"5.73333";"45.7833"
"SAINT-GEORGES-SUR-RENON";"01400";"5.03333";"46.1"
"LANTENAY";"01430";"5.53333";"46.05"
"VERNOUX";"01560";"5.11667";"46.4833"
"CORMARANCHE-EN-BUGEY";"01110";"5.6";"45.95"
"SAINTE-EUPHEMIE";"01600";"4.78333";"45.9667"
"BEAUPONT";"01270";"5.26667";"46.4"
"BRENS";"01300";"5.69473";"45.7187"
"RAMASSE";"01250";"5.35";"46.2"
"DIVONNE-LES-BAINS";"01220";"6.13333";"46.3667"
"LEAZ";"01200";"5.88333";"46.1"
"VILLES";"01200";"5.78333";"46.0833"
"SAINT-JULIEN-SUR-REYSSOUZE";"01560";"5.11667";"46.4"
"GROSLEE";"01680";"5.56667";"45.7167"
"VANDEINS";"01660";"5.08333";"46.2167"
"VERJON";"01270";"5.35";"46.35"
"SAINT-ANDRE-SUR-VIEUX-JONC";"01240";"5.06667";"46.15"
"SAINT-ANDRE-D'HUIRIAT";"01290";"4.91667";"46.2167"
"GRILLY";"01220";"6.11667";"46.3333"
"CESSY";"01170";"6.06667";"46.3167"
"ORDONNAZ";"01510";"5.53333";"45.8333"
"VESCOURS";"01560";"5.03333";"46.4667"
"MEILLONNAS";"01370";"5.35";"46.25"
"GEOVREISSET";"01100";"5.6";"46.25"
"CEYZERIEU";"01350";"5.73333";"45.8333"
"BEARD-GEOVREISSIAT";"01460";"5.56667";"46.2"
"LA BURBANCHE";"01510";"5.56667";"45.85"
"PERREX";"01540";"4.98333";"46.2333"
"VILLEMOTIER";"01270";"5.31667";"46.35"
"JASSERON";"01250";"5.33333";"46.2167"
"CORVEISSIAT";"01250";"5.48333";"46.2333"
"JOURNANS";"01250";"5.33333";"46.15"
"SERMOYER";"01190";"4.98333";"46.5"
"CHARIX";"01130";"5.68333";"46.1833"
"ARBIGNIEU";"01300";"5.65";"45.7333"
"LEYSSARD";"01450";"5.46667";"46.1667"
"SAINT-JEAN-DE-THURIGNEUX";"01390";"4.88333";"45.95"
"FRANS";"01480";"4.78333";"45.9833"
"TENAY";"01230";"5.5";"45.9167"
"BAGE-LA-VILLE";"01380";"4.95";"46.3167"
"MONTMERLE-SUR-SAONE";"01090";"4.76667";"46.0833"
"COURMANGOUX";"01370";"5.36667";"46.3333"
"BANEINS";"01990";"4.9";"46.1167"
"LAGNIEU";"01150";"5.35";"45.9"
"ATTIGNAT";"01340";"5.16667";"46.2833"
"SAINT-ANDRE-DE-BAGE";"01380";"4.91667";"46.3"
"PONT-DE-VAUX";"01190";"4.93333";"46.4333"
"AMBERIEU-EN-BUGEY";"01500";"5.35";"45.95"
"PEYZIEUX-SUR-SAONE";"01140";"4.81667";"46.1167"
"CROZET";"01170";"6.01251";"46.2806"
"SEYSSEL";"01420";"5.83194";"45.9597"
"BEYNOST";"01700";"5";"45.8333"
"VERSONNEX";"01210";"6.09723";"46.3023"
"SAINT-LAURENT-SUR-SAONE";"01620";"4.83333";"46.3"
"ARTEMARE";"01510";"5.7";"45.8667"
"MONTRACOL";"01310";"5.11667";"46.1833"
"PARVES";"01300";"5.75";"45.75"
"PUGIEU";"01510";"5.65";"45.8167"
"VIRIEU-LE-GRAND";"01510";"5.65";"45.85"
"SAINT-REMY";"01310";"5.16667";"46.1833"
"RANCE";"01390";"4.86667";"45.9667"
"GRIEGES";"01290";"4.85";"46.25"
"GRAND-CORENT";"01250";"5.43333";"46.2"
"OUTRIAZ";"01430";"5.55";"46.0667"
